ID_REF,GSM992693,GSM992694,GSM992695,GSM992696,GSM992697,GSM992698,GSM992699,GSM992700,GSM992701,GSM992702,GSM992703,GSM992704,GSM992705,GSM992706,GSM992707,GSM992708,GSM992709,GSM992710
7892501,2.793962645,3.219389359,4.202216589,3.282219725,3.112703497,4.475730572,3.854487183,3.904886613,3.867064595,2.92553713,3.060049922,4.273920255,4.328938775,3.268283253,3.157261393,3.797515435,4.022137877,3.252120144
7892502,5.610446948,5.544724289,5.581855305,5.369994723,4.869519707,5.450976354,5.501892547,5.399748617,5.445289232,5.436282224,5.580919828,6.000003359,5.911950182,5.555685644,5.759593261,5.228984158,5.46113301,5.821237238
7892503,3.885003554,3.231454154,3.550692741,3.500324647,3.973824682,4.249179788,4.253334051,4.299776138,3.2847742,3.55399422,3.965121046,3.637811385,3.410042054,3.57190301,3.45372645,3.714462684,3.928347513,3.530655195
7892504,9.069206193,9.466555079,9.233969132,8.992586053,9.289799192,8.892826939,9.069712379,9.19013987,9.137521596,8.989427538,9.292341696,8.871996272,9.258383289,9.093114379,9.113458521,9.402948246,9.512078044,8.938031557
7892505,4.476206118,3.19348458,3.612435108,3.714549119,4.251796756,4.084920193,4.632754478,3.364059247,3.602717228,3.958463866,3.690797997,4.314518979,3.162385951,4.820258035,3.332743316,3.462565695,4.128204226,3.754386388
7892506,7.404045273,6.933840699,7.316857697,6.886435195,6.971438541,6.932484787,6.938023653,6.547418423,7.074234421,6.950851927,6.595823562,7.270510279,6.998780606,7.418409764,7.093741157,6.841151558,7.103968661,6.877891633
7892507,3.947119139,4.750023331,3.954757613,4.613433109,4.614896957,4.50657086,5.205603127,3.848307436,4.218944761,4.716264948,4.946965482,4.644719327,4.138968148,5.072692436,4.182591268,4.527377211,4.761910179,4.686123078
7892508,6.659563885,5.224382322,6.454329038,5.22302487,5.135949997,5.616170071,6.281163525,5.748358855,6.040949468,6.117595813,5.533097209,6.540537762,5.323677336,6.465892095,6.22109724,3.793192524,5.405884347,5.64795461
7892509,10.57475741,10.23777818,10.66251418,10.64118971,10.72046905,10.31015704,10.72595919,10.16232787,10.2754566,10.32397626,9.831957816,10.48963524,10.30290803,10.50135737,10.50836904,9.974433775,10.48330895,10.49165711
7892510,5.146956323,3.893247033,5.259278911,4.740546764,4.98282392,5.162162099,4.339867636,4.402259003,4.808417932,5.688038705,4.456389601,4.570660793,4.889592986,4.92200673,4.043192457,4.255115625,5.138774436,5.227155442
7892511,4.410018286,3.987157093,3.871538269,3.985837929,4.244179794,4.247424218,4.456072189,4.143618701,4.83947805,4.222821067,4.129410561,4.266275806,4.086242885,4.264579519,3.856171394,3.896672369,4.480980089,4.094988929
7892512,6.98649286,7.084896476,7.23241591,6.80977704,6.832951429,6.934584663,7.843826486,7.495973132,7.401019807,7.707982773,8.110152691,7.258375374,7.600962067,7.713745295,7.501896033,7.169178808,7.212619115,6.913139686
7892513,3.881655151,3.631373326,4.128281439,3.759381626,4.418876741,5.009070898,5.162210061,5.123286501,5.535078077,4.074342359,3.824000367,4.658214465,4.785885105,5.119733025,3.485315081,3.852234143,4.394464301,3.965496782
7892514,9.602278995,9.382617075,10.32272328,9.920721842,9.80528659,9.531884414,9.739669343,9.138400596,9.169557965,8.992073806,8.36870447,9.27884393,8.944656922,8.723799578,9.264661557,9.409255862,9.495038516,9.039870346
7892515,9.250135358,9.713113869,9.400531132,9.374695401,9.943473299,9.632006325,9.803935063,10.02948695,9.825033242,9.737016428,9.674765854,9.080257514,9.837821999,9.245062755,9.544833609,9.268170038,9.959573513,9.723206312
7892516,3.240949697,3.000600102,3.425884396,3.4186691,3.819464621,3.441565151,3.349289329,3.870237062,3.322395394,3.822186577,3.490241287,3.320297561,3.326324464,3.375114138,3.68931759,3.085756757,3.515505452,3.886074984
7892517,6.46325404,6.190243176,6.071605201,6.556339482,6.066031146,5.247298594,5.718917822,5.87907222,5.861514199,6.117423957,5.573738934,5.89962262,5.262796072,5.371957531,5.772922515,6.094822342,5.345123286,6.079712583
7892518,3.597115355,3.294218623,3.656951562,2.979439975,3.533078504,3.221341596,3.857683225,3.690624805,4.118781382,4.056669471,3.451090427,3.806488371,3.297923779,3.332309127,3.77804726,2.809139815,3.590454449,3.682805349
7892519,5.359411615,5.509302904,5.722905646,5.749583618,5.332733634,5.546876484,5.187267621,5.686977946,5.618343084,5.107881016,5.869473838,5.504269225,5.932545599,6.197427642,5.608000116,5.574540219,5.510060783,5.518979197
7892520,9.278685396,9.875785736,9.51363763,9.319325591,9.869567171,9.545526692,9.874754365,9.569535624,9.890109572,9.779012865,9.952451707,9.321114246,9.697701108,9.498242524,9.360401547,9.606364808,9.849239269,9.964404118
7892521,7.437382729,6.456881957,7.638943319,7.457614792,7.556653564,6.975802724,7.516306098,6.833204895,7.412198576,7.71860164,6.986138193,7.74472084,7.430831966,8.106058041,7.780318274,7.653711353,7.336836667,6.876790424
